序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
140,545,金浦钛业,金浦钛业股份有限公司,吉林市,昌邑区,17.41亿,1.66亿,1074,1993-12-15,--,,其他化学原料,主营业务:钛白粉生产及销售,钛白粉生产及销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
141,546,金圆股份,金圆环保股份有限公司,长春市,朝阳区,50.73亿,4.02亿,3536,1993-12-15,--,,水泥,主营业务:以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。,以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。
142,547,航天发展,航天工业发展股份有限公司,福州市,台江区,24.91亿,3.19亿,1856,1993-11-30,--,,通信传输设备,主营业务:电子蓝军、指控通信、电磁安防和发电设备四大主营业务,电子蓝军、指控通信、电磁安防和发电设备四大主营业务
143,548,湖南投资,湖南投资集团股份有限公司,长沙市,芙蓉区,9.71亿,1.22亿,809,1993-12-20,--,,高速公路,主营业务:路桥收费、酒店经营和房地产开发,路桥收费、酒店经营和房地产开发
144,550,江铃汽车,江铃汽车股份有限公司,南昌市,青云谱区,313.46亿,6.91亿,17341,1993-12-01,--,,商用车,主营业务:生产和销售商用车、SUV以及相关的零部件,生产和销售商用车、SUV以及相关的零部件
145,551,创元科技,创元科技股份有限公司,苏州市,虎丘区,25.91亿,1.35亿,3359,1994-01-06,--,,综合,主营业务:洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营
146,552,靖远煤电,甘肃靖远煤电股份有限公司,白银市,平川区,39.81亿,5.53亿,13031,1994-01-06,--,,煤炭开采洗选,主营业务:煤炭的生产与销售,煤炭的生产与销售
147,553,安道麦A,安道麦股份有限公司,荆州市,沙市区,238.20亿,15.46亿,1598,1993-12-03,--,,农药,主营业务:农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易,农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易
148,554,泰山石油,中国石化山东泰山石油股份有限公司,泰安市,泰山区,27.19亿,284.67万,1342,1993-12-15,--,,石油天然气贸易,主营业务:成品油的批发和零售、天然气的零售,成品油的批发和零售、天然气的零售
149,555,神州信息,神州数码信息服务股份有限公司,深圳市,南山区,81.87亿,3.18亿,9942,1994-04-08,--,,其他软件服务,主营业务:技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
150,557,西部创业,宁夏西部创业实业股份有限公司,银川市,金凤区,6.60亿,8699.15万,1153,1994-06-17,--,,铁路运输,主营业务:生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。,生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。
151,558,莱茵体育,莱茵达体育发展股份有限公司,杭州市,西湖区,13.24亿,4496.12万,174,1994-05-09,--,,体育运营,主营业务:体育运营、房地产销售及租赁、能源及贸易销售,体育运营、房地产销售及租赁、能源及贸易销售
152,559,万向钱潮,万向钱潮股份有限公司,杭州市,萧山区,111.54亿,9.24亿,9697,1994-01-10,--,,汽车零部件,主营业务:生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。,生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。
153,560,我爱我家,我爱我家控股集团股份有限公司,昆明市,五华区,13.19亿,7576.63万,59003,1994-02-02,--,,百货,主营业务:房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。,房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。
154,561,烽火电子,陕西烽火电子股份有限公司,宝鸡市,宝鸡市,12.17亿,8891.02万,3039,1994-05-09,--,,通信终端设备,主营业务:从事通信装备及电声器材的科研、生产、销售。,从事通信装备及电声器材的科研、生产、销售。
155,563,陕国投A,陕西省国际信托股份有限公司,西安市,雁塔区,11.51亿,3.52亿,498,1994-01-10,--,,信托,主营业务:投资银行的一般业务,投资银行的一般业务
156,564,供销大集,供销大集集团股份有限公司,西安市,新城区,277.90亿,14.74亿,10808,1994-01-10,--,,百货,主营业务:商业零售,商业零售
157,565,渝三峡A,重庆三峡油漆股份有限公司,重庆市,江津区,36.09亿,8112.54万,942,1994-04-08,--,,涂料涂漆,主营业务:油漆涂料的生产销售,油漆涂料的生产销售
158,566,海南海药,海南海药股份有限公司,海口市,秀英区,18.25亿,8120.67万,2350,1994-05-25,--,,化学制剂,主营业务:药品及医疗器械研发、生产和销售,药品及医疗器械研发、生产和销售
159,567,海德股份,海南海德实业股份有限公司,海口市,海口市,2.03亿,7326.83万,45,1994-05-25,--,,其他非银行金融,主营业务:不良资产管理业务。,不良资产管理业务。
160,568,泸州老窖,泸州老窖股份有限公司,泸州市,江阳区,103.95亿,26.02亿,2451,1994-05-09,--,,白酒,主营业务:“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
161,570,苏常柴A,常柴股份有限公司,常州市,钟楼区,24.23亿,4713.72万,3432,1994-07-01,--,,内燃机,主营业务:以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售,以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售
162,571,新大洲A,新大洲控股股份有限公司,海口市,美兰区,16.03亿,4470.77万,4348,1994-05-25,--,,煤炭开采洗选,主营业务:煤炭采掘;物流运输;电动车的生产经营和物业管理等,煤炭采掘;物流运输;电动车的生产经营和物业管理等
163,572,海马汽车,海马汽车集团股份有限公司,海口市,海口市,100.79亿,-14.15亿,8189,1994-08-08,--,,乘用车,主营业务:汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业,汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业
164,573,粤宏远A,东莞宏远工业区股份有限公司,东莞市,东莞市,5.66亿,3162.54万,533,1994-08-15,--,,房地产开发,主营业务:开发经营工业区、房地产开发销售、原煤开采销售,开发经营工业区、房地产开发销售、原煤开采销售
165,576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,江门市,蓬江区,4.75亿,-2.84亿,487,1994-09-07,--,,造纸,主营业务:浆纸贸易、酵母及酵母深加工产品的生产销售、LED外延片及芯片的生产销售,浆纸贸易、酵母及酵母深加工产品的生产销售、LED外延片及芯片的生产销售
166,581,威孚高科,无锡威孚高科技集团股份有限公司,无锡市,滨湖区,90.17亿,26.47亿,5411,1998-09-24,--,,汽车零部件,主营业务:汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
167,582,北部湾港,北部湾港股份有限公司,北海市,海城区,37.11亿,6.43亿,3839,1995-11-02,--,,港口,主营业务:从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等,从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等
168,584,哈工智能,江苏哈工智能机器人股份有限公司,无锡市,江阴市,15.72亿,1.15亿,915,1995-11-28,--,,氨纶,主营业务:智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。,智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。
169,585,*ST东电,东北电气发展股份有限公司,常州市,新北区,3298.59万,-3.98亿,559,1995-12-13,--,,其他输变电设备,主营业务:电力电容器及封闭母线等系统保护及传输设备的制造和营销,电力电容器及封闭母线等系统保护及传输设备的制造和营销
170,586,汇源通信,四川汇源光通信股份有限公司,成都市,金牛区,3.90亿,94.63万,1093,1995-12-20,--,,通信传输设备,主营业务:通信工程及系统集成业务、光纤、光缆及相关产品业务,通信工程及系统集成业务、光纤、光缆及相关产品业务
171,587,金洲慈航,金洲慈航集团股份有限公司,伊春市,伊春区,116.98亿,11.10亿,1149,1996-04-25,--,,珠宝首饰,主营业务:黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁
172,589,黔轮胎A,贵州轮胎股份有限公司,贵阳市,乌当区,69.60亿,-2.22亿,6103,1996-03-08,--,,轮胎,主营业务:轮胎生产及销售,轮胎生产及销售
173,590,启迪古汉,启迪古汉集团股份有限公司,衡阳市,蒸湘区,3.44亿,990.60万,1466,1996-01-19,--,,中药生产,主营业务:主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
174,591,太阳能,中节能太阳能股份有限公司,重庆市,渝中区,52.05亿,8.11亿,2555,1996-02-08,--,,新能源发电,"主营业务:太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售","太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
175,592,平潭发展,中福海峡(平潭)发展股份有限公司,福州市,平潭县,8.48亿,-687.32万,1179,1996-03-27,--,,木材加工,主营业务:造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
176,593,大通燃气,四川大通燃气开发股份有限公司,成都市,成华区,4.86亿,2681.59万,833,1996-03-12,--,,燃气,主营业务:城市管道燃气和零售商业,城市管道燃气和零售商业
177,595,宝塔实业,宝塔实业股份有限公司,银川市,西夏区,4.36亿,2783.79万,1423,1996-04-19,--,,基础件,主营业务:轴承制造、物资贸易,轴承制造、物资贸易
178,596,古井贡酒,安徽古井贡酒股份有限公司,亳州市,亳州市,69.68亿,11.85亿,7991,1996-09-27,--,,白酒,主营业务:白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
179,597,东北制药,东北制药集团股份有限公司,沈阳市,于洪区,56.76亿,9205.77万,8106,1996-05-23,--,,化学原料药,主营业务:生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
180,598,兴蓉环境,成都市兴蓉环境股份有限公司,成都市,青羊区,37.31亿,9.16亿,3767,1996-05-29,--,,污水处理,主营业务:自来水供应、污水处理及垃圾渗滤液处理。,自来水供应、污水处理及垃圾渗滤液处理。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
181,599,青岛双星,青岛双星股份有限公司,青岛市,黄岛区,39.98亿,1.02亿,4840,1996-04-30,--,,轮胎,主营业务:轮胎、机械等产品的生产及销售。,轮胎、机械等产品的生产及销售。
182,600,建投能源,河北建投能源投资股份有限公司,石家庄市,石家庄市,105.69亿,3.12亿,4443,1996-06-06,--,,火电,主营业务:投资、建设、运营管理以电力生产为主的能源项目,投资、建设、运营管理以电力生产为主的能源项目
183,601,韶能股份,广东韶能集团股份有限公司,韶关市,武江区,35.94亿,4.58亿,4828,1996-08-30,--,,火电,主营业务:电力生产与销售,电力生产与销售
184,603,盛达矿业,盛达矿业股份有限公司,北京市,大兴区,13.34亿,4.62亿,685,1996-08-23,--,,铅锌,主营业务:有色金属矿采选业，铅精粉（含银）、锌精粉的生产和销售,有色金属矿采选业，铅精粉（含银）、锌精粉的生产和销售
185,605,渤海股份,渤海水业股份有限公司,北京市,顺义区,16.63亿,1.75亿,1470,1996-09-13,--,,水务,主营业务:原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
186,606,顺利办,顺利办信息服务股份有限公司,西宁市,城东区,5.16亿,7759.19万,364,1996-10-04,--,,其他互联网服务,主营业务:互联网服务业务,互联网服务业务
187,607,华媒控股,浙江华媒控股股份有限公司,杭州市,下城区,18.32亿,2.10亿,3175,1996-08-30,--,,营销服务,主营业务:经营广告、报刊发行、印刷及新媒体业务、新增教育培训,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
188,608,阳光股份,阳光新业地产股份有限公司,南宁市,江南区,5.34亿,1.90亿,147,1996-09-19,--,,房地产开发,主营业务:房地产开发与销售，投资性房地产出租与资产管理输出服务,房地产开发与销售，投资性房地产出租与资产管理输出服务
189,609,中迪投资,北京中迪投资股份有限公司,北京市,丰台区,2.71亿,1.34亿,101,1996-10-10,--,,综合,主营业务:股权投资和资产投资,股权投资和资产投资
190,610,西安旅游,西安旅游股份有限公司,西安市,碑林区,7.30亿,-2012.53万,815,1996-09-26,--,,景区,主营业务:酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
191,611,天首发展,内蒙古天首科技发展股份有限公司,包头市,青山区,4077.93万,-2152.78万,142,1996-10-08,--,,纺织,主营业务:纺织品加工、销售，高硅硅锰铁合金等新材料贸易,纺织品加工、销售，高硅硅锰铁合金等新材料贸易
192,612,焦作万方,焦作万方铝业股份有限公司,焦作市,马村区,50.17亿,1.76亿,3886,1996-09-26,--,,铝,主营业务:铝冶炼及加工,铝冶炼及加工
193,613,大东海A,海南大东海旅游中心股份有限公司,三亚市,三亚市,2790.66万,285.90万,143,1997-01-28,--,,酒店,主营业务:旅游服务业中的住宿和餐饮,旅游服务业中的住宿和餐饮
194,615,京汉股份,京汉实业投资集团股份有限公司,襄阳市,樊城区,27.95亿,4.18亿,3423,1996-10-16,--,,房地产开发,主营业务:房地产业务和粘胶纤维业务,房地产业务和粘胶纤维业务
195,616,海航投资,海航投资集团股份有限公司,大连市,中山区,9670.73万,792.84万,247,1996-11-08,--,,房地产开发,主营业务:以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
196,617,中油资本,中国石油集团资本股份有限公司,克拉玛依市,克拉玛依区,293.05亿,135.12亿,4022,1996-10-22,--,,其他非银行金融,主营业务:以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务,以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务
197,619,海螺型材,芜湖海螺型材科技股份有限公司,芜湖市,鸠江区,30.88亿,1478.16万,3583,1996-10-23,--,,其他建材,主营业务:主要生产销售塑料型材、门窗等节能建筑材料。,主要生产销售塑料型材、门窗等节能建筑材料。
198,620,新华联,新华联文化旅游发展股份有限公司,北京市,通州区,74.41亿,8.53亿,6583,1996-10-29,--,,房地产开发,主营业务:房地产开发、经营与建筑装修,房地产开发、经营与建筑装修
199,622,恒立实业,恒立实业发展集团股份有限公司,岳阳市,岳阳楼区,5873.31万,-3669.78万,193,1996-11-07,--,,汽车零部件,主营业务:汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。,汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。
200,623,吉林敖东,吉林敖东药业集团股份有限公司,延边朝鲜族自治州,敦化市,29.77亿,18.45亿,3351,1996-10-28,--,,中药生产,主营业务:制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营,制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
201,625,长安汽车,重庆长安汽车股份有限公司,重庆市,江北区,800.12亿,72.08亿,39138,1997-06-10,--,,乘用车,主营业务:制造和销售汽车(含轿车)、制造汽车发动机系列产品,制造和销售汽车(含轿车)、制造汽车发动机系列产品
202,626,远大控股,远大产业控股股份有限公司,连云港市,连云港市,1015.25亿,-3.72亿,780,1996-11-28,--,,贸易,主营业务:进出口贸易业务,进出口贸易业务
203,627,天茂集团,天茂实业集团股份有限公司,荆门市,荆门市,534.06亿,26.78亿,5099,1996-11-12,--,,保险,主营业务:从事化工和医药原料药的生产和销售,从事化工和医药原料药的生产和销售
204,628,高新发展,成都高新发展股份有限公司,成都市,武侯区,5.73亿,2911.79万,897,1996-11-18,--,,专业工程,主营业务:建筑业、房地产、厨柜制造、期货经纪等业务,建筑业、房地产、厨柜制造、期货经纪等业务
205,629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,攀枝花市,东区,94.36亿,9.20亿,3496,1996-11-15,--,,普钢,主营业务:铁矿石采选、钛精矿提纯、钒钛制品生产和加工、钒钛延伸产品的研发和应用,铁矿石采选、钛精矿提纯、钒钛制品生产和加工、钒钛延伸产品的研发和应用
206,630,铜陵有色,铜陵有色金属集团股份有限公司,铜陵市,铜官区,824.29亿,7.29亿,15882,1996-11-20,--,,铜,主营业务:铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
207,631,顺发恒业,顺发恒业股份公司,长春市,朝阳区,66.82亿,7.58亿,764,1996-11-22,--,,房地产开发,主营业务:房地产领域开发与运营,房地产领域开发与运营
208,632,三木集团,福建三木集团股份有限公司,福州市,马尾区,66.61亿,6138.70万,551,1996-11-21,--,,综合,主营业务:房地产开发与经营、进出口贸易。,房地产开发与经营、进出口贸易。
209,633,合金投资,新疆合金投资股份有限公司,沈阳市,沈阳市,6645.77万,-2499.37万,248,1996-11-12,--,,其他金属新材料,主营业务:镍基合金材料的制造和销售,镍基合金材料的制造和销售
210,635,英力特,宁夏英力特化工股份有限公司,石嘴山市,惠农区,19.65亿,9331.30万,2235,1996-11-20,--,,氯碱,主营业务:电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
211,636,风华高科,广东风华高新科技股份有限公司,肇庆市,端州区,33.55亿,2.62亿,6697,1996-11-29,--,,电子元件,主营业务:系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。,系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。
212,637,茂化实华,茂名石化实华股份有限公司,茂名市,茂南区,44.08亿,1.18亿,624,1996-11-14,--,,石油加工,主营业务:石油化工产品的生产及销售,石油化工产品的生产及销售
213,638,万方发展,万方城镇投资发展股份有限公司,沈阳市,和平区,1.28亿,1981.97万,340,1996-11-26,--,,贸易,主营业务:与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务,与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务
214,639,西王食品,西王食品股份有限公司,滨州市,邹平县,56.18亿,3.96亿,2250,1996-11-26,--,,植物油,主营业务:健康食用油及运动营养和体重管理,健康食用油及运动营养和体重管理
215,650,仁和药业,仁和药业股份有限公司,南昌市,青山湖区,38.44亿,4.41亿,7197,1996-12-10,--,,中药生产,主营业务:生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。,生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。
216,651,格力电器,珠海格力电器股份有限公司,珠海市,香洲区,1500.20亿,225.08亿,85222,1996-11-18,--,,空调,主营业务:生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务
217,652,泰达股份,天津泰达股份有限公司,天津市,滨海新区,190.23亿,5.48亿,1040,1996-11-28,--,,贸易,主营业务:交通、能源、涤纶长丝、空气净化过滤材料;滤器、医疗卫生洁净用品、服装等。,交通、能源、涤纶长丝、空气净化过滤材料;滤器、医疗卫生洁净用品、服装等。
218,655,*ST金岭,山东金岭矿业股份有限公司,淄博市,张店区,10.44亿,-3.20亿,2984,1996-11-28,--,,铁矿石,主营业务:铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
219,656,金科股份,金科地产集团股份有限公司,重庆市,江北区,347.58亿,22.85亿,15989,1996-11-28,--,,房地产开发,主营业务:房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅
220,657,中钨高新,中钨高新材料股份有限公司,海口市,龙华区,67.09亿,1.89亿,7925,1996-12-05,--,,钨,主营业务:硬质合金生产及加工销售,硬质合金生产及加工销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
221,659,珠海中富,珠海中富实业股份有限公司,珠海市,珠海市,16.15亿,9092.02万,2246,1996-12-03,--,,包装印刷,"主营业务:从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。","从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"
222,661,长春高新,长春高新技术产业(集团)股份有限公司,长春市,朝阳区,41.02亿,9.28亿,5072,1996-12-18,--,,生物医药,主营业务:以生物医药、健康产业为主，房地产开发为辅,以生物医药、健康产业为主，房地产开发为辅
223,662,天夏智慧,天夏智慧城市科技股份有限公司,梧州市,长洲区,16.66亿,5.74亿,426,1996-12-16,--,,行业应用软件,主营业务:软件产品销售、系统集成建设与运营服务,软件产品销售、系统集成建设与运营服务
224,663,永安林业,福建省永安林业(集团)股份有限公司,三明市,永安市,11.92亿,4280.25万,2881,1996-12-06,--,,木材加工,主营业务:木(竹)材采运、加工，林产化工产品制造。,木(竹)材采运、加工，林产化工产品制造。
225,665,湖北广电,湖北省广播电视信息网络股份有限公司,武汉市,汉阳区,26.12亿,3.31亿,8399,1996-12-10,--,,有线电视,主营业务:有线电视网络运营,有线电视网络运营
226,666,经纬纺机,经纬纺织机械股份有限公司,北京市,大兴区,98.04亿,29.44亿,8962,1996-12-10,--,,其他非银行金融,主营业务:生产与销售纺织机械业务及金融信托业务,生产与销售纺织机械业务及金融信托业务
227,667,美好置业,美好置业集团股份有限公司,昆明市,五华区,44.38亿,6.47亿,3732,1996-12-05,--,,房地产开发,主营业务:投资、房地产业务,投资、房地产业务
228,668,荣丰控股,荣丰控股集团股份有限公司,上海市,浦东新区,2.70亿,1389.16万,141,1996-12-10,--,,房地产开发,主营业务:房地产开发与销售、物业出租,房地产开发与销售、物业出租
229,669,金鸿控股,金鸿控股集团股份有限公司,吉林市,吉林市,37.65亿,2.90亿,4263,1996-12-10,--,,燃气,主营业务:天然气长输管道及城市燃气管网的建设和运营,天然气长输管道及城市燃气管网的建设和运营
230,670,盈方微,盈方微电子股份有限公司,荆州市,沙市区,2.41亿,-3.27亿,138,1996-12-17,--,,半导体材料,主营业务:面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售，并提供硬件设计和软件应用的整体解决方案。,面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售，并提供硬件设计和软件应用的整体解决方案。
231,671,阳光城,阳光城集团股份有限公司,福州市,马尾区,331.63亿,22.28亿,9201,1996-12-18,--,,房地产开发,主营业务:房地产开发、商品贸易。,房地产开发、商品贸易。
232,672,上峰水泥,甘肃上峰水泥股份有限公司,白银市,白银区,45.88亿,7.68亿,1867,1996-12-18,--,,水泥,主营业务:水泥产品生产与销售，建材产品,水泥产品生产与销售，建材产品
233,673,当代东方,当代东方投资股份有限公司,大同市,南郊区,8.20亿,1.55亿,783,1997-01-24,--,,影视,主营业务:影视文化业,影视文化业
234,676,智度股份,智度科技股份有限公司,郑州市,郑州市,63.75亿,5.28亿,638,1996-12-24,--,,其他互联网服务,主营业务:互联网相关业务,互联网相关业务
235,677,恒天海龙,恒天海龙股份有限公司,潍坊市,寒亭区,5.54亿,773.29万,864,1996-12-26,--,,粘胶纤维,主营业务:粘胶纤维及帘帆布的生产与销售,粘胶纤维及帘帆布的生产与销售
236,678,襄阳轴承,襄阳汽车轴承股份有限公司,襄阳市,襄城区,15.22亿,1422.12万,4403,1997-01-06,--,,汽车零部件,主营业务:从事轴承及其零部件的生产、科研、销售及相关业务,从事轴承及其零部件的生产、科研、销售及相关业务
237,679,大连友谊,大连友谊(集团)股份有限公司,大连市,中山区,18.43亿,199.80万,538,1997-01-24,--,,百货,主营业务:以零售业、酒店业、房地产业为主，其它策略性投资为补充,以零售业、酒店业、房地产业为主，其它策略性投资为补充
238,680,山推股份,山推工程机械股份有限公司,济宁市,任城区,63.51亿,6053.66万,5471,1997-01-22,--,,工程机械,主营业务:工程机械制造,工程机械制造
239,681,视觉中国,视觉(中国)文化发展股份有限公司,常州市,武进区,8.15亿,3.13亿,611,1997-01-21,--,,网络媒体,主营业务:提供优质正版图片、视频等视觉内容及增值服务,提供优质正版图片、视频等视觉内容及增值服务
240,682,东方电子,东方电子股份有限公司,烟台市,芝罘区,27.08亿,1.86亿,4134,1997-01-21,--,,电气自控设备,主营业务:电子及通信设备开发、生产、销售及咨询服务。,电子及通信设备开发、生产、销售及咨询服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
241,683,远兴能源,内蒙古远兴能源股份有限公司,鄂尔多斯市,东胜区,103.04亿,9.39亿,4565,1997-01-31,--,,纯碱,主营业务:甲醇、煤炭的生产与销售。,甲醇、煤炭的生产与销售。
242,685,中山公用,中山公用事业集团股份有限公司,中山市,中山市,17.60亿,11.17亿,2454,1997-01-23,--,,污水处理,主营业务:生产供应自来水、污水处理和农贸农批市场经营、物业开发,生产供应自来水、污水处理和农贸农批市场经营、物业开发
243,686,东北证券,东北证券股份有限公司,长春市,朝阳区,49.34亿,7.03亿,3005,1997-02-27,--,,证券,主营业务:证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等,证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等
244,687,华讯方舟,华讯方舟股份有限公司,保定市,竞秀区,17.60亿,1.26亿,917,1997-02-21,--,,通信终端设备,主营业务:军事通信及配套业务,军事通信及配套业务
245,688,国城矿业,国城矿业股份有限公司,重庆市,涪陵区,12.40亿,4.10亿,952,1997-01-20,--,,铅锌,主营业务:有色金属采、选及贸易,有色金属采、选及贸易
